exigence;module;intitule_module;libelle_exigence;priorite;cas_de_test;livrables_couvrants;statut_recette;critere_ou_observation
EF-M11-01;M11;Planification familiale;Gérer le counseling PF (fiche de counseling) et le registre PF avec nouvelles et anciennes utilisatrices;Indispensable;CT-M11-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M11-02;M11;Planification familiale;Gérer les méthodes (orales, injectables, implants, DIU, préservatifs, méthodes naturelles, définitives) avec dates de renouvellement et conversion en couples-années de protection;Indispensable;CT-M11-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M11-03;M11;Planification familiale;Suivre les acceptantes, les abandons, les effets secondaires et les retraits d'implants/DIU;Indispensable;CT-M11-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M11-04;M11;Planification familiale;Gérer les stocks de produits contraceptifs avec les règles SIGL;Indispensable;CT-M11-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M12-01;M12;Nutrition;Dépister la malnutrition aiguë modérée et sévère (PB, z-score P/T, œdèmes, test de l'appétit);Indispensable;CT-M12-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M12-02;M12;Nutrition;Gérer les admissions et issues UNTA et UNS conformément au canevas SNIS (guéri, décès, abandon, non-répondant, transfert), y compris les groupes spécifiques;Indispensable;CT-M12-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M12-03;M12;Nutrition;Suivre les rations (ATPE, farines) avec sortie de stock et cartes de ration;Indispensable;CT-M12-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M12-04;M12;Nutrition;Produire les indicateurs de performance nutritionnelle (taux de guérison, décès, abandon, gain de poids);Indispensable;CT-M12-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M13-01;M13;Programmes verticaux;Paludisme : cas suspects, testés (TDR/GE), confirmés, traités selon la politique nationale, paludisme grave référé, TPI chez la femme enceinte;Indispensable;CT-M13-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M13-02;M13;Programmes verticaux;Tuberculose : registre TB, dépistage, mise sous traitement, catégorie, suivi des crachats, issues (guéri, traitement terminé, échec, décès, perdu de vue), contacts;Indispensable;CT-M13-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M13-03;M13;Programmes verticaux;VIH : dépistage et conseil (registres pré-test et post-test), registre de prise en charge, file active sous ARV, registre des rendez-vous, prophylaxie au cotrimoxazole, charge virale;Indispensable;CT-M13-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M13-04;M13;Programmes verticaux;IST : prise en charge syndromique, notification des partenaires;Indispensable;CT-M13-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M13-05;M13;Programmes verticaux;Maladies chroniques : cohortes HTA, diabète, avec suivi de la tension, de la glycémie, de l'observance et des rendez-vous;Indispensable;CT-M13-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M13-06;M13;Programmes verticaux;Autres : lèpre, trypanosomiase humaine africaine, personnes du troisième âge, dépistage des infirmités;Souhaitable;CT-M13-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M13-07;M13;Programmes verticaux;Calculer et exporter les indicateurs propres à chaque programme dans leurs canevas respectifs;Indispensable;CT-M13-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M14-01;M14;Référence et contre-référence;Créer une référence vers l'HGR ou une autre structure : motif, diagnostic, actes déjà posés, traitement administré, degré d'urgence, moyen de transport;Indispensable;CT-M14-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M14-02;M14;Référence et contre-référence;Imprimer le billet/fiche de référence conforme et tenir le registre des malades référés;Indispensable;CT-M14-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M14-03;M14;Référence et contre-référence;"Enregistrer la contre-référence reçue et la rattacher au dossier ; classer les lettres de contre-référence";Indispensable;CT-M14-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M14-04;M14;Référence et contre-référence;Suivre le taux de référence, le taux de contre-référence effective et les délais;Indispensable;CT-M14-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M14-05;M14;Référence et contre-référence;Notifier la structure d'accueil par SMS ou message si le réseau est disponible;Souhaitable;CT-M14-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M15-01;M15;Caisse, tarification et facturation;Facturer selon un moteur de tarification gérant le forfait par épisode, le tarif à l'acte, le tarif par régime et le prix du traitement standard;Indispensable;CT-M15-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-02;M15;Caisse, tarification et facturation;Générer automatiquement la facture à partir des actes, examens, médicaments et journées d'observation consommés;Indispensable;CT-M15-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-03;M15;Caisse, tarification et facturation;Encaisser en espèces (CDF/USD), mobile money, chèque, avec reçu/quittance numéroté en série inaltérable;Indispensable;CT-M15-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-04;M15;Caisse, tarification et facturation;Gérer les paiements partiels, les avances, les crédits et les dettes patients avec échéancier et suivi des impayés;Indispensable;CT-M15-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-05;M15;Caisse, tarification et facturation;Gérer les exonérations : indigent, personnel, gratuité maternité, programme, avec motif, pièce justificative et validation hiérarchique;Indispensable;CT-M09-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-06;M15;Caisse, tarification et facturation;Tenir le journal de caisse, le bon d'entrée caisse, le bon de sortie caisse, le rapport de caisse journalier et le bordereau de versement au trésorier;Indispensable;CT-M15-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-07;M15;Caisse, tarification et facturation;Clôturer la caisse par caissier et par poste, avec comptage des espèces, écart constaté et justification obligatoire;Indispensable;CT-M15-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-08;M15;Caisse, tarification et facturation;Interdire la suppression d'une opération encaissée : correction uniquement par annulation contre-passée et tracée;Indispensable;CT-M15-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-09;M15;Caisse, tarification et facturation;Produire le tableau récapitulatif des recettes par service, par acte, par régime et par période;Indispensable;CT-M15-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M15-10;M15;Caisse, tarification et facturation;Gérer la double devise avec taux journalier et conversion tracée sur chaque opération;Indispensable;CT-M15-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M16-01;M16;Tiers payants, mutuelles et régimes de gratuité;Gérer les conventions avec mutuelles, employeurs, assurances et programmes : périmètre couvert, taux de prise en charge, ticket modérateur, plafonds, exclusions, délais de facturation;Indispensable;CT-M16-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M16-02;M16;Tiers payants, mutuelles et régimes de gratuité;Vérifier l'éligibilité de l'assuré à l'accueil (numéro d'affiliation, validité, ayants droit);Indispensable;CT-M16-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M16-03;M16;Tiers payants, mutuelles et régimes de gratuité;Éclater automatiquement la facture entre part patient et part tiers payant;Indispensable;CT-M15-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M16-04;M16;Tiers payants, mutuelles et régimes de gratuité;Produire les bordereaux de facturation périodiques par tiers payant, avec pièces justificatives attendues par la convention;Indispensable;CT-M15-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M16-05;M16;Tiers payants, mutuelles et régimes de gratuité;Suivre les créances tiers payants : envoyé, reçu, contesté, rejeté (avec motif), payé, et relances;Indispensable;CT-M16-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M16-06;M16;Tiers payants, mutuelles et régimes de gratuité;Identifier dans les rapports SNIS les nouveaux cas mutualistes et indigents, comme l'exige le canevas;Indispensable;CT-M16-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M16-07;M16;Tiers payants, mutuelles et régimes de gratuité;Produire les états de remboursement du programme de gratuité maternité et nouveau-né;Indispensable;CT-M09-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-01;M17;Comptabilité et budget;Gérer le plan comptable et la liste des comptes paramétrables, les journaux comptables, le grand livre, la balance provisoire et définitive;Indispensable;CT-M17-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-02;M17;Comptabilité et budget;Générer les écritures automatiquement depuis la caisse, la pharmacie et la paie;Indispensable;CT-M17-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-03;M17;Comptabilité et budget;Gérer la banque : journal de banque, ordres de paiement et de virement, rapprochement bancaire;Indispensable;CT-M17-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-04;M17;Comptabilité et budget;Gérer le budget : élaboration, fiche budgétaire, tableau de suivi budgétaire, engagements, alerte de dépassement;Indispensable;CT-M17-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-05;M17;Comptabilité et budget;Gérer la trésorerie : plan de trésorerie, rapport de trésorerie, prévisions de décaissement;Indispensable;CT-M17-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-06;M17;Comptabilité et budget;Gérer les pièces de dépense : bon de demande de fonds, bon d'engagement, bon de réquisition, bon de commande, bon à justifier, facture fournisseur;Indispensable;CT-M17-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-07;M17;Comptabilité et budget;Produire le compte de résultat, le bilan simplifié, le livre d'inventaire et les états annexes;Souhaitable;CT-M17-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-08;M17;Comptabilité et budget;Produire les rubriques recettes, dépenses et financement indirect du canevas SNIS;Indispensable;CT-M17-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M17-09;M17;Comptabilité et budget;Gérer les projets et bailleurs : affectation analytique des recettes et dépenses par source de financement;Indispensable;CT-M17-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-01;M18;Ressources humaines et paie;Tenir le dossier de l'agent : identité, qualification (L2, A1, A2, sage-femme, nutritionniste, technicien de laboratoire, médecin, autre), matricule, statut, ancienneté, diplômes, description de poste;Indispensable;CT-M18-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-02;M18;Ressources humaines et paie;Gérer les présences : liste/registre de présences, jours prévus, jours prestés, absences justifiées et injustifiées, conformément au canevas SNIS;Indispensable;CT-M18-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-03;M18;Ressources humaines et paie;Gérer les congés : planning, décision de congé, soldes;Indispensable;CT-M18-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-04;M18;Ressources humaines et paie;Gérer les roulements de service et les gardes;Indispensable;CT-M18-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-05;M18;Ressources humaines et paie;Gérer la paie : éléments de rémunération, prime de performance FBP individuelle, retenues, état de paie, bulletins;Indispensable;CT-M18-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-06;M18;Ressources humaines et paie;Gérer l'évaluation (fiche de cotation) et la discipline (procès-verbaux d'ouverture, de clôture, de transmission);Souhaitable;CT-M18-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-07;M18;Ressources humaines et paie;Gérer la formation continue : plan, sessions, participation, attestations;Souhaitable;CT-M18-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M18-08;M18;Ressources humaines et paie;Gérer les ordres de mission et les frais de mission;Souhaitable;CT-M18-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M19-01;M19;Immobilisations, équipements et maintenance;Inventorier les équipements : code, localisation, date d'acquisition, valeur, source de financement, état (fonctionnel, en panne, hors d'usage);Indispensable;CT-M19-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M19-02;M19;Immobilisations, équipements et maintenance;Suivre les équipements exigés par le canevas SNIS : électricité, frigo, microscope, glucomètre, spectrophotomètre, centrifugeuse, et leur fonctionnalité;Indispensable;CT-M19-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M19-03;M19;Immobilisations, équipements et maintenance;Gérer la maintenance préventive (calendrier, alertes) et curative (demande d'intervention, coût, pièces);Indispensable;CT-M19-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M19-04;M19;Immobilisations, équipements et maintenance;Gérer les amortissements et la réforme des biens;Souhaitable;CT-M19-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M20-01;M20;Hygiène, déchets et stérilisation;Suivre les cycles de stérilisation (charge, température, durée, contrôle) et la traçabilité des instruments;Souhaitable;CT-M20-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M20-02;M20;Hygiène, déchets et stérilisation;Suivre la gestion des déchets biomédicaux : tri, collecte, incinération/enfouissement, registre;Indispensable;CT-M20-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M20-03;M20;Hygiène, déchets et stérilisation;Suivre les indicateurs d'hygiène et de prévention des infections, les accidents d'exposition au sang et les checklists de nettoyage;Souhaitable;CT-M20-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M20-04;M20;Hygiène, déchets et stérilisation;Suivre la disponibilité de l'eau, de l'électricité et des consommables d'hygiène (critères de qualité FBP);Indispensable;CT-M20-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M21-01;M21;Activités communautaires et RECO;Gérer les relais communautaires et les CAC : identité, village, formation, supervision;Indispensable;CT-M21-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M21-02;M21;Activités communautaires et RECO;Enregistrer les activités des RECO : visites à domicile, sensibilisations, récupérations d'enfants et de femmes enceintes, référence communautaire;Indispensable;CT-M21-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M21-03;M21;Activités communautaires et RECO;Gérer les sites de soins communautaires : fonctionnement, prise en charge des cas, stock de proximité, rapportage;Indispensable;CT-M21-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M21-04;M21;Activités communautaires et RECO;Gérer la PCIME communautaire et les perdus de vue à récupérer, avec listes nominatives par village;Indispensable;CT-M10-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M21-05;M21;Activités communautaires et RECO;Gérer les séances de communication pour le changement de comportement et la participation communautaire (COSA, réunions);Indispensable;CT-M21-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M21-06;M21;Activités communautaires et RECO;Application mobile légère ou formulaire USSD/SMS pour la saisie par les RECO sans connexion permanente;Souhaitable;CT-M21-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M22-01;M22;SNIS, DHIS2 et rapports réglementaires;Générer le rapport mensuel du centre de santé conforme au canevas SNIS, sans ressaisie, à partir des données de production;Indispensable;CT-M22-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M22-02;M22;SNIS, DHIS2 et rapports réglementaires;Couvrir toutes les rubriques : consultations et caractéristiques des nouveaux cas (femmes enceintes, mutualistes, indigents), morbidité notifiable, santé de la mère, PF, santé de l'enfant et PEV, laboratoire, nutrition, références et observation, décès par cause et âge, activités communautaires, sites de soins, supervision, personnel, pharmacie, matériel, recettes, dépenses, financement indirect;Indispensable;CT-M22-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M22-03;M22;SNIS, DHIS2 et rapports réglementaires;Contrôler la cohérence avant transmission : totaux, ventilations par sexe et par groupe d'âge (moins de 5 ans / 5 ans et plus), valeurs aberrantes, complétude;Indispensable;CT-M22-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M22-04;M22;SNIS, DHIS2 et rapports réglementaires;Exporter en PDF pour signature, en Excel/CSV, et par API DHIS2 (`dataValueSets`) avec mapping des éléments de données et des unités d'organisation;Indispensable;CT-M22-04;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M22-05;M22;SNIS, DHIS2 et rapports réglementaires;Tracer l'envoi : date, auteur, accusé, version corrective (rapport rectificatif);Indispensable;CT-M22-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M22-06;M22;SNIS, DHIS2 et rapports réglementaires;Mesurer la complétude et la promptitude des rapports, indicateurs suivis par la DPS;Indispensable;CT-M22-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M22-07;M22;SNIS, DHIS2 et rapports réglementaires;Produire les rapports spécifiques des programmes (PEV, paludisme, TB, VIH, nutrition) et le rapport SIGL;Indispensable;CT-M22-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M22-08;M22;SNIS, DHIS2 et rapports réglementaires;Permettre la reconstitution du rapport à partir des données individuelles pour toute vérification externe (piste d'audit descendante);Indispensable;CT-M22-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M23-01;M23;FBP et qualité;Gérer les indicateurs quantitatifs achetés, avec quantité déclarée, tarif unitaire, subside calculé;Indispensable;CT-M23-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M23-02;M23;FBP et qualité;Produire le bordereau de déclaration des prestations et le dossier de vérification;Indispensable;CT-M23-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M23-03;M23;FBP et qualité;Relier chaque prestation déclarée à sa source primaire (registre, fiche, dossier) pour la vérification quantitative;Indispensable;CT-M23-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M23-04;M23;FBP et qualité;Gérer la grille d'évaluation qualitative par service, le score obtenu et le plan d'amélioration;Indispensable;CT-M23-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M23-05;M23;FBP et qualité;Gérer la contre-vérification communautaire : échantillon de patients, existence et satisfaction, écarts constatés;Indispensable;CT-M23-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M23-06;M23;FBP et qualité;Calculer les primes de performance et leur répartition selon la clé paramétrée;Indispensable;CT-M23-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M23-07;M23;FBP et qualité;Gérer le plan de management/plan d'action du centre et son suivi;Indispensable;CT-M23-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M24-01;M24;Tableaux de bord et monitorage;Tableau de bord IT : activité du jour, file d'attente, recettes du jour, alertes stock, rapports en retard;Indispensable;CT-M24-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M24-02;M24;Tableaux de bord et monitorage;Monitorage de l'aire de santé : taux d'utilisation des services curatifs, couverture CPN 1 et 4, accouchements assistés, couverture vaccinale par antigène, PF, par mois et par village, avec dénominateurs population;Indispensable;CT-M24-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M24-03;M24;Tableaux de bord et monitorage;Indicateurs financiers : recettes par service, coût par épisode, taux de recouvrement, part des exonérations, créances tiers payants;Indispensable;CT-M24-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M24-04;M24;Tableaux de bord et monitorage;Indicateurs logistiques : taux de disponibilité des produits traceurs, jours de rupture, taux de péremption, rotation du stock;Indispensable;CT-M24-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M24-05;M24;Tableaux de bord et monitorage;Indicateurs de qualité : taux de référence, décès, contre-référence, complétude et promptitude des rapports;Indispensable;CT-M24-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M24-06;M24;Tableaux de bord et monitorage;Graphiques d'évolution, comparaison à l'objectif et à la période précédente, export image et PDF;Indispensable;CT-M24-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M24-07;M24;Tableaux de bord et monitorage;Cartographie simple des villages et de la couverture (si coordonnées disponibles);Optionnel;CT-M24-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M25-01;M25;Administration, sécurité et audit;"Gérer les utilisateurs, les rôles et les permissions fines (par module, par action, par service) ; profils prédéfinis : IT, infirmier, sage-femme, laborantin, pharmacien, caissier, comptable, gestionnaire RH, administrateur, superviseur ECZS (lecture)";Indispensable;CT-M25-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-02;M25;Administration, sécurité et audit;Authentification par mot de passe fort, avec option code PIN pour postes partagés et déconnexion automatique après inactivité;Indispensable;"CT-M25-01 ; CT-M25-03";"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-03;M25;Administration, sécurité et audit;"Journal d'audit inaltérable : création, modification, consultation, suppression logique, connexion, export, impression ; horodatage et utilisateur";Indispensable;"CT-M02-04 ; CT-M25-02";"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-04;M25;Administration, sécurité et audit;Aucune suppression physique des données cliniques et financières : suppression logique motivée uniquement;Indispensable;CT-M25-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-05;M25;Administration, sécurité et audit;Sauvegardes automatiques locales chiffrées (quotidiennes), export sur support externe, et sauvegarde distante si connexion;Indispensable;CT-M26-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-06;M25;Administration, sécurité et audit;Procédure de restauration testée et documentée, avec test de restauration mensuel;Indispensable;CT-M26-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-07;M25;Administration, sécurité et audit;Registre des traitements de données personnelles, politique de conservation et d'anonymisation conforme au Code du numérique (R6);Indispensable;CT-M25-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-08;M25;Administration, sécurité et audit;Gestion du consentement, droit d'accès et de rectification du patient, export des données d'un patient sur demande;Indispensable;CT-M25-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-09;M25;Administration, sécurité et audit;Masquage renforcé des données sensibles (VIH, violences sexuelles, santé mentale) avec accès dédié et justification;Indispensable;CT-M25-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M25-10;M25;Administration, sécurité et audit;Mode « bris de glace » d'urgence, journalisé et notifié à l'administrateur;Souhaitable;CT-M25-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M26-01;M26;Synchronisation et multi-sites;Fonctionnement hors ligne complet : toutes les fonctions cliniques, pharmaceutiques et de caisse disponibles sans internet;Indispensable;CT-M26-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M26-02;M26;Synchronisation et multi-sites;Synchronisation incrémentale opportuniste dès que la connexion est disponible, avec reprise après interruption;Indispensable;CT-M26-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M26-03;M26;Synchronisation et multi-sites;Résolution des conflits déterministe et traçable, avec file des conflits à arbitrer par un administrateur;Indispensable;CT-M26-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M26-04;M26;Synchronisation et multi-sites;Identifiants globalement uniques (UUID) pour éviter les collisions entre sites;Indispensable;CT-M26-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M26-05;M26;Synchronisation et multi-sites;Consolidation multi-structures pour un réseau ou une zone de santé, avec cloisonnement des données par structure;Souhaitable;CT-M26-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M26-06;M26;Synchronisation et multi-sites;Indicateur visible de l'état de synchronisation et de la dernière sauvegarde réussie;Indispensable;CT-M26-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
